Ticker,Date,Cleaned_Headlines
XOM,2015-07-22,"[""goldman on exxon: 'we believe xom is uniquely positioned to outperform peers & the energy sector' to benefit from the 'new oil order'""]"
XOM,2015-10-06,['option alert: $xom jan $80 call sweep; 5000 contracts above ask @$2.38']
XOM,2016-04-27,['check on energy: xom and cvx earnings preview']
XOM,2016-05-17,"['oxy shares spiking, traders passing around comments about co meeting with xom']"
XOM,2016-06-30,['goldman adds hes/xom to conviction buy list']
XOM,2016-10-03,"['pre prep host dennis dick tweets: notable opening imbalances: $twtr +351k, $baba +59k, $pfe , $ge , $pg , $vz , $cat , $xom , $cvx']"
XOM,2016-12-30,"['pre prep host dennis dick tweets: some huge sell imbalances this morning: $pg , $vz , $xom , $wmt , $cvx , $ge , $cat , $pfe']"
XOM,2017-03-14,"['premarket prep host dennis dick tweets: notable opening imbalances: $cat , $ge , $baba , $cl , $pfe , $xom , $cvx']"
XOM,2017-04-26,"['what might be expected when f, gm, cvx, and xom report earnings this week']"
XOM,2017-11-01,"[""fuels & oil analyst patrick dehaan tweets: :warning: overnight fire hits $xom refinery in baton rouge, nation's fourth largest, capacity of 503k bpd, may have some impact on markets.""]"
XOM,2018-01-31,['upcoming earnings: iphone sales in focus when apple']
XOM,2020-03-09,"[""benzinga pro's top 5 stocks to watch for mon., mar. 9, 2020: xom, gld, ba, tsla, spex""]"
XOM,2020-06-19,"['from benzinga premarket prep: co dennis dick notes a lot of premarket buy imbalances such as pg 673k, ko 902k, kr 204k, xom 462k, and cvx 679k to buy']"
XOM,2020-07-30,['correction: prior headline on weakness in bp shares incorrectly tagged ticker xom']
XOM,2020-10-29,"['notable earnings watchlist for friday, oct. 30, 2020 before market open: xom, cl, cvx, bsac, lea, hon, gt, flir, mo, chtr, abbv, ua, lhx']"
XOM,2020-11-10,"['stocks trading ex today, tuesday, nov. 10, 2020: fang, vnom, peak, ntb, nidb, gwb, xom, cog, opy, bort, shen, simo, sbux, kbh, zion, lpla, rmd, aroc, msa, hnna, tbnk, ivz, matx, wtfc, gilt, pool, etr, ecc']"
XOM,2020-11-16,"['yahoo finance trending stocks for monday, nov. 16, 2020: mrna, wmt, spce, ba, pfe, jd, athe, tsm, bntx, tgt, nvax, hds, ino, ibio, xom, mu, panw, hpr, tsn, ccl, can, gp, bbva, mmedf, wwr, uber, o, rcl, rapt']"
XOM,2021-10-19,['check out what whales are doing with xom']
XOM,2021-12-13,['check out what whales are doing with xom']
XOM,2021-12-29,['check out what whales are doing with xom']
XOM,2022-02-01,"['top 10 wallstreetbets mentions for tuesday february 1, 2022 since 9:30 am et open: amd, gme, tsla, amc, mtch, hood, ups, aapl xom, pltr']"
XOM,2022-02-02,['check out what whales are doing with xom']
XOM,2022-03-04,['check out what whales are doing with xom']
XOM,2022-03-07,"['top 10 wallstreetbets mentions for monday, march 7, 2022 since 9:30 am et open: bbby, gme, tsla, weat, aapl, xom, hood, amd, lcid, rsx']"
XOM,2022-03-08,"['top 10 wallstreetbets mentions for tuesday, march 8, 2022 since 9:30 am et open: tsla, oil, uso, bbby, xom, lcid, rig, amd, gme, weat']"
XOM,2022-03-09,"['top 10 wallstreetbets mentions for wednesday, march 9, 2022 since 9:30 am et open: xom ,tsla, asts, uso, bbby, bmbl, dte, gme, dax, sofi']"
XOM,2022-03-10,"['top 10 wallstreetbets mentions for wednesday, march 9, 2022 after: amzn, crwd, tsla, goog, gme, googl, ccj, asan, xom, uec']"
XOM,2022-04-28,['check out what whales are doing with xom']
XOM,2022-05-17,['check out what whales are doing with xom']
XOM,2022-06-07,"['top wallstreetbets mentions for tuesday june 7, 2022 since 9:30 am et open: gme, tsla, amzn, xom, tgt, amc, aapl, hexo, gsk, uvxy']"
XOM,2022-06-08,"['top wallstreetbets mentions for wednesday june 8, 2022 premarket: gme, tsla, roku, baba, love, amc, xom, amd, nio, amzn']"
XOM,2022-06-10,"['top wallstreetbets mentions for friday june 10, 2022 since 9:30 am et open: gme, tsla, amzn, dte, amd, aapl, xom, nvda, docu, amc']"
XOM,2022-06-12,"['top wallstreetbets mentions this weekend: gme, tsla, amc, xom, aapl, amzn, baba, dte, meta, coin']"
XOM,2022-06-13,"['top wallstreetbets mentions for monday june 13, 2022 since 9:30 et open: gme, tsla, aapl, tlry, amzn, coin, amc, xom, dte, uvxy']"
XOM,2022-06-16,"['top wallstreetbets mentions for thursday june 16, 2022 since 9am et open: gme, tsla, amd, amzn, amc, aapl, arkk, xom, twtr, adn']"
XOM,2022-06-21,"[""benzinga pro's top 5 stocks to watch for tuesday, jun. 21, 2022: tsla, k, xom, aese, arvl""]"
XOM,2022-06-23,"['top wall street bets mentions for thursday june 23, 2022 since 9:30 am et open: tsla, gme, amd, webr, amc, meta, fdx, amzn, sft, xom']"
XOM,2022-06-28,"['top wall street bets mentions for tuesday june 28, 2022 since 9:30 am et open: tsla, amd, nke, gme, jpm, nvda, nio, xom, bbby, hood']"
XOM,2022-07-29,"[""benzinga pro's top 5 stocks to watch for friday, jul. 29, 2022: amzn, xom, roku, mrna, mnmd""]"
XOM,2022-08-17,['check out what whales are doing with xom']
XOM,2022-08-30,"['benzinga before the bell: tesla sues louisiana automobile dealers association, will iphone 14 feature satellite connectivity?, netflix denies $7 to $9 ad plan and other top financial stories tuesday, august 30']"
XOM,2022-09-06,['check out what whales are doing with xom']
XOM,2022-09-15,['check out what whales are doing with xom']
XOM,2022-09-19,['check out what whales are doing with xom']
XOM,2022-10-10,['check out what whales are doing with xom']
XOM,2022-10-25,['check out what whales are doing with xom']
XOM,2022-10-27,"[""benzinga pro's top 5 stocks to watch for thursday, october 27, 2022: f, spot, xom, hog, mq"", 'ten top wall street bets mentions for thursday october 27, 2022: meta, sdc, aapl, tsla, amzn, twtr, xom, msft, goog, nflx']"
XOM,2022-10-28,"['top wall street bets mentions for friday october 28, 2022: gme, amzn, aapl, meta, xom, tsla, twtr, msft, googl, amc', 'ten stocks trending on discord for friday october 28, 2022: amzn, aapl, twtr, tsla, intc, xom, nuvl, agle, zvo, epix']"
XOM,2022-10-31,['check out what whales are doing with xom']
XOM,2022-11-17,"['top ten wall street bets mentions for thursday november 17, 2022: nvda, gme, tsla, aapl, baba, asts, tgt, amd, xom, qrtea']"
XOM,2022-11-28,"['top ten wall street bets mentions for monday november 28, 2022: tsla, aapl, baba, amzn, ams, nvda, yang, coin, gme, xom']"
XOM,2023-01-12,['check out what whales are doing with xom']
XOM,2023-01-31,"['top wall street bets mentions for tuesday january 31, 2023: amd, snap, tsla, meta, cvna, nvda, cat, aapl, amzn, xom']"
XOM,2023-03-13,['check out what whales are doing with xom']
XOM,2023-03-20,['exxon mobil (xom) tests 200 moving average amid sharp swings in energy prices']
XOM,2023-04-03,"[""benzinga pro's top 5 stocks to watch for monday, april 3, 2023: xom, ai, ayi, nkla, snps""]"
XOM,2023-04-21,"[""benzinga pro's top 10 stocks to watch for friday, april 21, 2023: aapl, amzn, amd, sbux, cs, f, qcom, xom, ko, ebay""]"
XOM,2023-04-26,"[""benzinga pro's top 5 stocks to watch for wednesday, april 26, 2023: amzn, amd, ai, xom, sai""]"
XOM,2023-06-13,"[""what's going on with exxon mobil (xom) stock""]"
XOM,2023-06-26,"[""what's going on with exxon mobil (xom) stock""]"
XOM,2023-06-27,['check out what whales are doing with xom']
XOM,2023-07-07,['check out what whales are doing with xom']
XOM,2023-07-14,['check out what whales are doing with xom']
XOM,2023-07-25,['check out what whales are doing with xom']
XOM,2023-07-28,"[""iphone us shipments take a hit, does social media algorithm impact political beliefs? research reveals answer, disney joins netflix to crack down password sharing in india: today's top stories""]"
XOM,2023-07-31,['check out what whales are doing with xom']
XOM,2023-08-01,['check out what whales are doing with xom']
XOM,2023-08-07,['check out what whales are doing with xom']
XOM,2023-08-25,['check out what whales are doing with xom']
XOM,2023-09-13,"[""apple's iphone 15 launch gets lukewarm response from investors but stock trends with wework, exxon mobil, adobe and tesla""]"
XOM,2023-09-27,"[""(xom) - analyzing exxon mobil's short interest""]"
XOM,2023-10-09,"[""what's going on with exxon mobil (xom) stock""]"
XOM,2023-10-13,"[""what's going on with exxon mobil (xom) stock""]"
XOM,2023-10-18,['check out what whales are doing with xom']
XOM,2023-10-24,['check out what whales are doing with xom']
XOM,2023-11-13,"[""what's going on with exxon mobil (xom) stock?""]"
XOM,2023-12-11,['check out what whales are doing with xom']
XOM,2023-12-22,['market whales and their recent bets on xom options']
XOM,2024-01-08,['check out what whales are doing with xom']
XOM,2024-04-02,['check out what whales are doing with xom']
XOM,2024-05-14,['smart money is betting big in xom options']
XOM,2024-06-17,['check out what whales are doing with xom']
XOM,2024-10-15,"[""what's going on with exxon mobil (xom) stock""]"
XOM,2024-10-28,"[""what's going on with exxon mobil (xom) stock?""]"
XOM,2024-11-13,"[""what's going on with exxon mobil (xom) stock?""]"
XOM,2024-11-14,"[""what's going on with exxon mobil (xom) stock?""]"
XOM,2024-11-18,"[""what's going on with exxon mobil (xom) stock?""]"
XOM,2024-12-04,['market whales and their recent bets on xom options']
XOM,2024-12-17,"[""what's going on with exxon mobil (xom) stock?""]"
XOM,2024-12-23,['smart money is betting big in xom options']
XOM,2025-01-06,['check out what whales are doing with xom']
XOM,2025-02-20,"['cnbc final trades: xom, lng, tmo']"
XOM,2025-03-05,['why exxon mobil (xom) stock hit a new 52 low today']
XOM,2025-03-06,"[""what's going on with exxon mobil (xom) shares?""]"
XOM,2025-03-19,['market whales and their recent bets on xom options']
