,,Model,Accuracy,Confusion Matrix,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades
normal,0,Logistic Regression,0.7722419928825622,"[[110  21]
 [ 43 107]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,48.754448398576514,13076.753280639647,17962.33103942871,30.767532806396463,55.639369224386705,27.19698158633861,80.95724756855117,18.020062175976403,0.3359425178494286,0.7587386034699455,0.734407551359739,2.588722072442849,0.5064545325866645,-37.032546214951104,-12.21228122672254,231 days 00:00:00,37 days 00:00:00,9,33.33333333333333,49.80745936857958,-11.433061644549126,3.0161410444288217,53 days 00:00:00,21 days 00:00:00,2.059704480987313,4.398982470564337,0.4822581471761048,0.12294594456553726,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000      0.00000              NaT
2024-01-17  10000.000000      0.00000              NaT
2024-01-18  10000.000000      0.00000              NaT
2024-01-19  10000.000000      0.00000              NaT
2024-01-22  10000.000000      0.00000              NaT
...                  ...          ...              ...
2025-02-21  13076.753281      0.27199              NaT
2025-02-24  13076.753281      0.27199              NaT
2025-02-25  13076.753281      0.27199              NaT
2025-02-26  13076.753281      0.27199              NaT
2025-02-27  13076.753281      0.27199          83 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    59        22       57  168.789993  252.860001  ... 2024-04-08  53 days  None                 1               1
1    59        58       59  253.229996  238.240005  ... 2024-04-10   1 days  None                 0               1
2    56        60       62  250.990005  247.940002  ... 2024-04-15   4 days  None                 1               0
3    59        92      110  235.449997  217.220001  ... 2024-06-24  27 days  None                 1               0
4    52       126      137  245.899994  226.600006  ... 2024-08-01  15 days  None                 1               0
5    58       190      205  203.529999  221.479996  ... 2024-11-06  21 days  None                 1               1
6    52       206      235  245.630005  290.640015  ... 2024-12-19  42 days  None                 1               0
7    50       254      270  298.519989  264.390015  ... 2025-02-12  22 days  None                 1               0
8    46       272      273  288.019989  278.799988  ... 2025-02-18   4 days  None                 0               0

[9 rows x 15 columns]"
normal,1,Random Forest,0.800711743772242,"[[109  22]
 [ 34 116]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,52.313167259786475,13596.863204956051,20175.039428710938,35.96863204956051,55.639369224386705,31.724776867131,89.78349363932054,20.897699792529266,0.3533475428632372,0.8374442423619517,0.7284737378967722,4.521374222596027,0.5651979572259631,-43.54965075161918,-14.323869385891433,339 days 00:00:00,74 days 00:00:00,9,33.33333333333333,60.44511472318237,-13.330622038606544,3.478310122731809,64 days 00:00:00,22 days 00:00:00,1.9830441231888076,5.6045752170636325,0.43929497323120875,0.10708831891028181,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  13596.863205     0.326055              NaT
2025-02-24  13596.863205     0.326055              NaT
2025-02-25  13596.863205     0.326055              NaT
2025-02-26  13596.863205     0.326055              NaT
2025-02-27  13596.863205     0.326055         339 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    72        20       64  138.389999  222.039993  ... 2024-04-17  64 days  None                 1               0
1    68        92      111  235.449997  217.000000  ... 2024-06-25  28 days  None                 1               0
2    60       126      138  245.899994  213.119995  ... 2024-08-02  16 days  None                 1               0
3    69       178      179  184.190002  178.720001  ... 2024-10-01   1 days  None                 0               0
4    63       189      202  195.679993  180.000000  ... 2024-11-01  17 days  None                 1               1
5    63       203      205  180.089996  221.479996  ... 2024-11-06   2 days  None                 1               1
6    57       206      235  245.630005  290.640015  ... 2024-12-19  42 days  None                 1               0
7    55       254      270  298.519989  264.390015  ... 2025-02-12  22 days  None                 1               0
8    51       272      274  288.019989  265.760010  ... 2025-02-19   5 days  None                 1               0

[9 rows x 15 columns]"
normal,2,XGBoost,0.8078291814946619,"[[112  19]
 [ 35 115]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,50.177935943060504,11994.340911865233,18312.199325561523,19.943409118652326,55.639369224386705,17.713371933649125,74.84760611415882,11.886975450980607,0.2366591645781215,0.4773912945554591,0.43959838701724746,-7.497149313960417,0.4931860086685807,-40.29444251112356,-13.634340175548493,339 days 00:00:00,74 days 00:00:00,7,28.57142857142857,47.4214576379419,-13.330622038606544,2.6622503123583163,65 days 00:00:00,28 days 00:00:00,1.8493135737889703,4.313474996148243,0.33275605052213003,0.0855516530955727,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  11994.340912     0.345008              NaT
2025-02-24  11994.340912     0.345008              NaT
2025-02-25  11994.340912     0.345008              NaT
2025-02-26  11994.340912     0.345008              NaT
2025-02-27  11994.340912     0.345008         339 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    65        21       66  151.830002  223.830002  ... 2024-04-19  65 days  None                 1               0
1    62        92      112  235.449997  220.000000  ... 2024-06-26  29 days  None                 1               0
2    55       126      138  245.899994  213.119995  ... 2024-08-02  16 days  None                 1               0
3    60       189      202  195.679993  180.000000  ... 2024-11-01  17 days  None                 1               0
4    44       206      235  245.630005  290.640015  ... 2024-12-19  42 days  None                 1               0
5    44       255      269  290.459991  277.549988  ... 2025-02-11  20 days  None                 1               0
6    43       272      273  288.019989  278.799988  ... 2025-02-18   4 days  None                 0               0

[7 rows x 15 columns]"
normal,3,SVM,0.7793594306049823,"[[111  20]
 [ 42 108]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,48.754448398576514,10012.962539672853,16544.279891967773,0.12962539672853382,55.639369224386705,0.1162399148100679,61.415320642976376,0.0800429162700178,0.0018926859551186177,0.0032362753061371116,0.0028752562914907045,-25.283417950226422,0.4567457126350101,-40.427670797236026,-11.718717463750874,339 days 00:00:00,62 days 00:00:00,9,22.22222222222222,49.80745936857958,-11.433061644549126,0.028299899517514326,53 days 00:00:00,21 days 00:00:00,1.2594202763331406,1.330961306273325,0.002183963100527615,0.0004931096558081216,MyStrategy,"                 Equity  DrawdownPct DrawdownDuration
Date                                                 
2024-01-16  10000.00000     0.000000              NaT
2024-01-17  10000.00000     0.000000              NaT
2024-01-18  10000.00000     0.000000              NaT
2024-01-19  10000.00000     0.000000              NaT
2024-01-22  10000.00000     0.000000              NaT
...                 ...          ...              ...
2025-02-21  10012.96254     0.394778              NaT
2025-02-24  10012.96254     0.394778              NaT
2025-02-25  10012.96254     0.394778              NaT
2025-02-26  10012.96254     0.394778              NaT
2025-02-27  10012.96254     0.394778         339 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    59        22       57  168.789993  252.860001  ... 2024-04-08  53 days  None                 1               1
1    59        58       59  253.229996  238.240005  ... 2024-04-10   1 days  None                 0               1
2    56        60       62  250.990005  247.940002  ... 2024-04-15   4 days  None                 1               0
3    59        92      110  235.449997  217.220001  ... 2024-06-24  27 days  None                 1               0
4    52       126      137  245.899994  226.600006  ... 2024-08-01  15 days  None                 1               0
5    58       190      204  203.529999  185.589996  ... 2024-11-05  20 days  None                 1               0
6    43       206      236  245.630005  266.130005  ... 2024-12-20  43 days  None                 1               0
7    39       254      270  298.519989  264.390015  ... 2025-02-12  22 days  None                 1               0
8    35       272      273  288.019989  278.799988  ... 2025-02-18   4 days  None                 0               0

[9 rows x 15 columns]"
normal,4,Naive Bayes,0.8042704626334519,"[[114  17]
 [ 38 112]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,49.46619217081851,14214.969009399421,19702.698974609375,42.14969009399422,55.639369224386705,37.08252763264339,91.15041272540705,24.26335257058243,0.40682786313162894,0.9878889853083499,1.0919205167546877,13.273020309411901,0.5189970732437004,-33.9608305399892,-11.085491817352972,339 days 00:00:00,62 days 00:00:00,10,30.0,75.71934210938961,-10.946636665300847,3.5903149133811985,63 days 00:00:00,19 days 00:00:00,2.338838849746092,5.998926522602562,0.4556921393935277,0.11223497391457365,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  14214.969009     0.278527              NaT
2025-02-24  14214.969009     0.278527              NaT
2025-02-25  14214.969009     0.278527              NaT
2025-02-26  14214.969009     0.278527              NaT
2025-02-27  14214.969009     0.278527         339 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    70        19       62  141.100006  247.940002  ... 2024-04-15  63 days  None                 1               0
1    74        90      109  233.809998  227.000000  ... 2024-06-21  29 days  None                 1               0
2    69       125      133  243.190002  243.339996  ... 2024-07-26  10 days  None                 1               1
3    67       134      135  251.550003  235.619995  ... 2024-07-30   1 days  None                 0               0
4    86       177      180  183.070007  163.029999  ... 2024-10-02   5 days  None                 1               0
5    72       189      202  195.679993  180.000000  ... 2024-11-01  17 days  None                 1               0
6    53       206      232  245.630005  316.899994  ... 2024-12-16  39 days  None                 1               1
7    52       233      235  319.829987  290.640015  ... 2024-12-19   2 days  None                 1               0
8    52       253      266  292.000000  279.519989  ... 2025-02-06  20 days  None                 1               0
9    50       272      273  288.019989  278.799988  ... 2025-02-18   4 days  None                 0               0

[10 rows x 15 columns]"
normal,5,Gradient Boosting,0.7864768683274022,"[[108  23]
 [ 37 113]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,51.245551601423486,14341.173477172852,20679.28971862793,43.41173477172852,55.639369224386705,38.173482474643606,102.80278228967742,24.94361658763944,0.37132732815614333,1.0143233563200942,0.8464480455320651,9.539152453772395,0.6087880360640355,-45.09843536899929,-13.964185441289395,254 days 00:00:00,47 days 00:00:00,8,25.0,72.95533857532013,-13.330622038606544,4.598544586308506,65 days 00:00:00,25 days 00:00:00,2.199359290679572,8.280959260384977,0.4137265108504958,0.08410909790220336,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  14341.173477     0.306496              NaT
2025-02-24  14341.173477     0.306496              NaT
2025-02-25  14341.173477     0.306496              NaT
2025-02-26  14341.173477     0.306496              NaT
2025-02-27  14341.173477     0.306496          83 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    70        19       54  141.100006  244.039993  ... 2024-04-03  51 days  None                 1               0
1    67        58       63  253.229996  223.000000  ... 2024-04-16   7 days  None                 1               0
2    64        92      111  235.449997  217.000000  ... 2024-06-25  28 days  None                 1               0
3    56       126      138  245.899994  213.119995  ... 2024-08-02  16 days  None                 1               0
4    66       178      179  184.190002  178.720001  ... 2024-10-01   1 days  None                 0               0
5    60       189      235  195.679993  290.640015  ... 2024-12-19  65 days  None                 1               0
6    58       254      270  298.519989  264.390015  ... 2025-02-12  22 days  None                 1               0
7    53       272      274  288.019989  265.760010  ... 2025-02-19   5 days  None                 1               0

[8 rows x 15 columns]"
normal,6,K-Nearest Neighbors,0.7615658362989324,"[[101  30]
 [ 37 113]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,54.44839857651246,7377.051788330078,16284.38981628418,-26.22948211669922,55.639369224386705,-23.87668367458078,51.13403175988582,-17.12983187129281,-0.4669431072187,-0.5823814523633295,-0.4310546361658424,-56.1887783633801,0.5384549944457268,-55.39131625392042,-15.409332927626169,356 days 00:00:00,75 days 00:00:00,10,30.0,32.259028599359915,-19.89146181474095,-3.0704491525100908,42 days 00:00:00,21 days 00:00:00,0.7472614605208856,-1.9680284554922525,-0.49921211371749924,-0.13776493061076,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   7264.251953     0.553913              NaT
2025-02-24   7377.051788     0.546986              NaT
2025-02-25   7377.051788     0.546986              NaT
2025-02-26   7377.051788     0.546986              NaT
2025-02-27   7377.051788     0.546986         356 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    70        19       21  141.100006  151.830002  ... 2024-02-14   2 days  None                 1               1
1    63        22       44  168.789993  223.240005  ... 2024-03-19  33 days  None                 1               0
2    55        47       66  254.240005  223.830002  ... 2024-04-19  28 days  None                 1               0
3    53        90      111  233.809998  217.000000  ... 2024-06-25  33 days  None                 1               0
4    47       126      137  245.899994  226.600006  ... 2024-08-01  15 days  None                 1               0
5    58       178      180  184.190002  163.029999  ... 2024-10-02   2 days  None                 1               0
6    46       190      203  203.529999  180.089996  ... 2024-11-04  19 days  None                 1               0
7    34       206      235  245.630005  290.640015  ... 2024-12-19  42 days  None                 1               0
8    34       246      247  286.739990  263.880005  ... 2025-01-08   1 days  None                 0               0
9    30       254      277  298.519989  239.139999  ... 2025-02-24  34 days  None                 1               0

[10 rows x 15 columns]"
normal,7,Decision Tree,0.7935943060498221,"[[112  19]
 [ 39 111]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,51.60142348754449,14321.892883300774,18933.249221801758,43.218928833007745,55.639369224386705,38.0068787200333,99.6855944214504,24.839839412228002,0.38126751353207516,1.031307262554774,0.81553965939869,10.897406861030042,0.5809110064067944,-46.603348202656825,-11.36966438250925,339 days 00:00:00,53 days 00:00:00,15,26.666666666666668,82.44211463147508,-13.330622038606544,2.441724471932605,32 days 00:00:00,13 days 00:00:00,1.9314889173707217,4.6516002784577335,0.4057710693803992,0.0746024419057841,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  14321.892883     0.243559              NaT
2025-02-24  14321.892883     0.243559              NaT
2025-02-25  14321.892883     0.243559              NaT
2025-02-26  14321.892883     0.243559              NaT
2025-02-27  14321.892883     0.243559         339 days

[281 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0     70        19       21  141.100006  151.830002  ... 2024-02-14   2 days  None                 1               1
1     63        22       43  168.789993  238.610001  ... 2024-03-18  32 days  None                 1               1
2     67        44       57  223.240005  252.860001  ... 2024-04-08  20 days  None                 1               1
3     67        58       59  253.229996  238.240005  ... 2024-04-10   1 days  None                 0               1
4     64        60       63  250.990005  223.000000  ... 2024-04-16   5 days  None                 1               0
5     60        92      110  235.449997  217.220001  ... 2024-06-24  27 days  None                 1               0
6     60       112      113  220.000000  217.600006  ... 2024-06-27   1 days  None                 0               0
7     53       126      138  245.899994  213.119995  ... 2024-08-02  16 days  None                 1               0
8     61       178      179  184.190002  178.720001  ... 2024-10-01   1 days  None                 0               0
9     56       189      202  195.679993  180.000000  ... 2024-11-01  17 days  None                 1               1
10    56       203      226  180.089996  328.559998  ... 2024-12-06  32 days  None                 1               1
11    54       227      228  339.910004  318.029999  ... 2024-12-10   1 days  None                 0               1
12    55       229      235  311.850006  290.640015  ... 2024-12-19   8 days  None                 1               0
13    53       254      255  298.519989  290.459991  ... 2025-01-22   1 days  None                 0               1
14    54       256      270  289.739990  264.390015  ... 2025-02-12  20 days  None                 1               0

[15 rows x 15 columns]"
normal,8,AdaBoost,0.8113879003558719,"[[114  17]
 [ 36 114]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,49.46619217081851,12582.48239135742,20175.039428710938,25.824823913574203,55.639369224386705,22.876876132945423,79.59829398466142,15.244545927454102,0.28740410111495346,0.6236743443476714,0.592129791530767,-1.9896097510116562,0.4999056253210507,-38.63490143572137,-13.34091952271187,339 days 00:00:00,74 days 00:00:00,8,25.0,61.13881131838519,-8.013079140779178,2.902129533718889,63 days 00:00:00,24 days 00:00:00,2.189990763215288,4.719548895526781,0.37320819043946124,0.09019667639141454,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  12582.482391     0.376334              NaT
2025-02-24  12582.482391     0.376334              NaT
2025-02-25  12582.482391     0.376334              NaT
2025-02-26  12582.482391     0.376334              NaT
2025-02-27  12582.482391     0.376334         339 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    72        20       63  138.389999  223.000000  ... 2024-04-16  63 days  None                 1               0
1    68        92      110  235.449997  217.220001  ... 2024-06-24  27 days  None                 1               0
2    60       126      136  245.899994  233.000000  ... 2024-07-31  14 days  None                 1               0
3    71       189      202  195.679993  180.000000  ... 2024-11-01  17 days  None                 1               0
4    52       206      236  245.630005  266.130005  ... 2024-12-20  43 days  None                 1               0
5    50       239      240  275.579987  274.200012  ... 2024-12-27   1 days  None                 0               0
6    46       254      269  298.519989  277.549988  ... 2025-02-11  21 days  None                 1               0
7    45       272      273  288.019989  278.799988  ... 2025-02-18   4 days  None                 0               0

[8 rows x 15 columns]"
normal,9,SGD Classifier,0.7829181494661922,"[[109  22]
 [ 39 111]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,49.8220640569395,10680.05154418945,16544.279891967773,6.800515441894495,55.639369224386705,6.077798450435257,68.7031049977758,4.147355002035935,0.08846468366505444,0.16317178218823153,0.13943842174688328,-22.518234500192932,0.526942529198139,-43.58768820166388,-12.245387031155515,339 days 00:00:00,62 days 00:00:00,7,42.857142857142854,32.11683682098996,-13.330622038606544,0.9413985646506751,61 days 00:00:00,28 days 00:00:00,1.380161083997346,1.9392271936310483,0.15010212669345094,0.057634935638761486,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  10680.051544     0.354457              NaT
2025-02-24  10680.051544     0.354457              NaT
2025-02-25  10680.051544     0.354457              NaT
2025-02-26  10680.051544     0.354457              NaT
2025-02-27  10680.051544     0.354457         339 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    59        22       63  168.789993  223.000000  ... 2024-04-16  61 days  None                 1               0
1    56        92      110  235.449997  217.220001  ... 2024-06-24  27 days  None                 1               0
2    49       126      138  245.899994  213.119995  ... 2024-08-02  16 days  None                 1               0
3    51       190      205  203.529999  221.479996  ... 2024-11-06  21 days  None                 1               1
4    46       206      236  245.630005  266.130005  ... 2024-12-20  43 days  None                 1               0
5    41       254      270  298.519989  264.390015  ... 2025-02-12  22 days  None                 1               0
6    38       272      273  288.019989  278.799988  ... 2025-02-18   4 days  None                 0               0

[7 rows x 15 columns]"
normal,10,MLP,0.8042704626334519,"[[113  18]
 [ 37 113]]",2024-01-16 00:00:00,2025-02-27 00:00:00,408 days 00:00:00,49.11032028469751,12955.229721069336,17423.589401245117,29.552297210693357,55.639369224386705,26.136408740029538,90.43201637110104,17.341435420958582,0.2890172063926447,0.708020840919087,0.6233960493737609,-2.2190247850166323,0.5710223253534772,-41.92584917130152,-12.804969267996524,254 days 00:00:00,47 days 00:00:00,7,42.857142857142854,31.548078747613072,-9.79658451201063,3.7617129375696834,62 days 00:00:00,27 days 00:00:00,2.2842319152976622,4.847725934471466,0.627428409064841,0.2038806488172173,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-16  10000.000000     0.000000              NaT
2024-01-17  10000.000000     0.000000              NaT
2024-01-18  10000.000000     0.000000              NaT
2024-01-19  10000.000000     0.000000              NaT
2024-01-22  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  12955.229721     0.256455              NaT
2025-02-24  12955.229721     0.256455              NaT
2025-02-25  12955.229721     0.256455              NaT
2025-02-26  12955.229721     0.256455              NaT
2025-02-27  12955.229721     0.256455          83 days

[281 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice  ...   ExitTime Duration   Tag  Entry_get_signal Exit_get_signal
0    59        22       64  168.789993  222.039993  ... 2024-04-17  62 days  None                 1               0
1    54        93      111  239.020004  217.000000  ... 2024-06-25  27 days  None                 1               0
2    47       127      137  251.210007  226.600006  ... 2024-08-01  14 days  None                 1               0
3    58       178      179  184.190002  178.720001  ... 2024-10-01   1 days  None                 0               0
4    53       189      206  195.679993  245.630005  ... 2024-11-07  23 days  None                 1               1
5    50       207      236  257.670013  266.130005  ... 2024-12-20  42 days  None                 1               0
6    46       255      269  290.459991  277.549988  ... 2025-02-11  20 days  None                 1               0

[7 rows x 15 columns]"
